Date,AccountID,AccountName,orderid,OrderCreateDate,OrderStatus,OrderStatusReason,FirstSuspended,PrePaidAccounts,ExpectedCartRuns,FOMCardRuns,FOM_Successful_CardRuns,Total_Payment_Attempts,SuccessfulPayments,CurrentBalance,CancelledCase,Cancel_CaseCreateDate
2026-09-01,23154,Attentive Home Care LLC-,28457,2026-01-28,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,24989,Tru Horizon Home Care LLC,30730,2026-06-01,Suspended,InsufficientBalance,2026-08-12,1,1,1,0,2,0,0.00,0,
2026-09-01,25532,"Avista Home Care, Inc",31418,2026-07-08,Suspended,InsufficientBalance,2026-08-01,1,1,2,0,4,0,58.00,0,
2026-09-01,16747,Absolutely Haven - Parent,29507,2026-03-25,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,2,0,-46.00,0,
2026-09-01,23883,Successful Aging Care Parent,29364,2026-03-18,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,-46.00,0,
2026-09-01,25642,Senior Golden Years Care And Activities,31595,2026-07-16,Suspended,InsufficientBalance,2026-08-21,1,1,1,0,2,0,0.00,0,
2026-09-01,23801,"EBZ Consulting, LLC",29260,2026-03-12,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24278,A & N Compassion Helpers,29851,2026-04-13,Suspended,InsufficientBalance,2026-06-18,1,1,1,0,1,0,0.00,0,
2026-09-01,25556,Consistent Care Homecare,31459,2026-07-10,Suspended,InsufficientBalance,2026-08-13,1,1,1,0,1,0,0.00,0,
2026-09-01,25574,Independent Home Care Agency,31483,2026-07-10,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,23557,Guardian Angel LLC,28963,2026-02-25,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,-23.00,0,
2026-09-01,24022,Alternative Care Solutions LLC,29541,2026-03-26,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25729,Full Spectrum Compassionate Care-In Home,31717,2026-07-23,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25237,RISE ABOVE ACADEMY INC,31028,2026-06-16,Suspended,InsufficientBalance,2026-08-01,1,1,2,0,4,0,58.00,0,
2026-09-01,25010,Wright Heart Home Care Services,30753,2026-06-02,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,21427,Extended Family of Lowell LLC,31649,2026-07-21,Suspended,InsufficientBalance,2026-08-16,1,1,1,0,1,0,-11.00,0,
2026-09-01,11041,Ocean Care Agency LLC,31499,2026-07-13,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,-58.00,0,
2026-09-01,25094,Pleasant Care Solutions LLC,30860,2026-06-05,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24020,Daily Living Specialists Home Care,29539,2026-03-26,Suspended,InsufficientBalance,2026-08-07,1,1,1,0,1,0,0.00,0,
2026-09-01,24105,Helping Handz South LLC,29634,2026-03-31,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25661,"His Mission Home Care, LLC",31617,2026-07-17,Suspended,InsufficientBalance,2026-08-04,1,1,1,0,2,0,0.00,0,
2026-09-01,25148,Serenity Direct Home Care,30923,2026-06-10,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,23048,Boston Life-Care LLC,28309,2026-01-21,Suspended,InsufficientBalance,2026-08-12,1,1,1,0,2,0,0.00,0,
2026-09-01,9840,"Pavilion Medical Home Care & Staffing, LLC",30596,2026-05-22,Suspended,InsufficientBalance,2026-08-09,1,1,1,0,1,0,0.00,0,
2026-09-01,25640,Burn Bright Home Health Care,31589,2026-07-16,Suspended,InsufficientBalance,2026-08-08,1,1,1,0,1,0,0.00,0,
2026-09-01,8817,Next Door Home Care,31857,2026-07-31,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25398,Superstar Home Healthcare LLC,31244,2026-06-26,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25650,Pyramid Health and Wellness,31603,2026-07-17,Suspended,InsufficientBalance,2026-08-30,1,1,1,0,1,0,0.00,0,
2026-09-01,24695,Angelic Hearts Home Care Llc,30368,2026-05-11,Suspended,Account Suspended,2026-09-01,1,1,1,0,3,0,-232.00,0,
2026-09-01,13026,Ty's Homecare and Companion Service's LLC,31819,2026-07-29,Suspended,InsufficientBalance,2026-08-21,1,1,1,0,2,0,0.00,0,
2026-09-01,22875,Good People Home Care - new,28087,2026-01-07,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,-46.00,0,
2026-09-01,25305,Wisconsin Comfort Care,31118,2026-06-22,Suspended,InsufficientBalance,2026-07-09,1,1,1,0,1,0,0.00,0,
2026-09-01,25131,Noah's Ark Home Care & Foundation LLC,30904,2026-06-09,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,1,0,0.00,0,
2026-09-01,12254,Friends For Life HomeCare and Medicaid Consultants - Suffolk,31332,2026-07-01,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,-11.00,0,
2026-09-01,24792,Golden Age Support 24/7,30480,2026-05-15,Suspended,InsufficientBalance,2026-07-07,1,1,1,0,2,0,0.00,0,
2026-09-01,25897,Carian Home Care,31945,2026-08-06,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,17135,Sandy Lee Direct Care Agency,31041,2026-06-17,Suspended,InsufficientBalance,2026-07-22,1,1,1,0,2,0,0.00,0,
2026-09-01,25734,ABbas Touch Home Care,31722,2026-07-24,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,23943,Four Seasons Healthcare Agency LLC,29446,2026-03-23,Suspended,InsufficientBalance,2026-07-01,1,1,1,0,2,0,-23.00,0,
2026-09-01,25626,Moes Gifted Hands LLC,31568,2026-07-15,Suspended,InsufficientBalance,2026-08-12,1,1,1,0,1,0,0.00,0,
2026-09-01,19195,Passion Calling,30309,2026-05-07,Suspended,InsufficientBalance,2026-08-03,1,1,1,0,1,0,0.00,0,
2026-09-01,24392,Warm Hearts Care,29985,2026-04-21,Suspended,InsufficientBalance,2026-09-05,1,1,2,0,2,0,-49.01,0,
2026-09-01,23210,Mothers Chest Care,28538,2026-02-02,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,25281,Gentle Care Touch,31086,2026-06-18,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,1,0,0.00,0,
2026-09-01,24916,Desert Bloom Companions LLC,30639,2026-05-26,Suspended,InsufficientBalance,2026-07-11,1,1,1,0,2,0,0.00,0,
2026-09-01,24358,Allied Home Care LLC,29931,2026-04-16,Suspended,InsufficientBalance,2026-09-01,1,1,5,0,5,0,0.00,0,
2026-09-01,24517,COMPANIONSHIP HOMEMAKER SERVICE,30183,2026-04-30,Suspended,InsufficientBalance,2026-07-20,1,1,1,0,1,0,0.00,0,
2026-09-01,24119,Love Living Well Home Health Care-,29649,2026-03-31,Suspended,InsufficientBalance,2026-08-12,1,1,1,0,2,0,0.00,0,
2026-09-01,25059,Serenity Bridge Home Care LLC,30810,2026-06-04,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,1,0,0.00,0,
2026-09-01,25571,Hayes Home Healthcare LLC,31476,2026-07-10,Suspended,InsufficientBalance,2026-08-14,1,1,1,0,2,0,0.00,0,
2026-09-01,24838,Angel Care,30539,2026-05-20,Suspended,InsufficientBalance,2026-09-01,1,1,1,0,2,0,0.00,0,
2026-09-01,24380,P&J Homecare Services LLC,29972,2026-04-20,Suspended,InsufficientBalance,2026-06-22,1,1,1,0,2,0,0.00,0,
2026-09-01,25058,SIX7ONE8 LLC,30809,2026-06-04,Suspended,InsufficientBalance,2026-08-01,1,1,1,0,2,0,0.00,0,
2026-09-01,22460,EverCare Home Health,31463,2026-07-10,Suspended,InsufficientBalance,2026-08-15,1,1,1,0,2,0,0.00,0,
2026-09-01,25290,Northwoods Home Health LLC,31097,2026-06-19,Suspended,InsufficientBalance,2026-07-10,1,1,1,0,1,0,0.00,0,
2026-09-01,22771,Shalon's Caring Hands,30493,2026-05-18,Suspended,Account Suspended,2026-09-01,1,1,1,0,1,0,-522.00,0,
2026-09-01,8642,Ease In the Home Care,29454,2026-03-23,Suspended,Account Suspended,2026-09-01,1,1,1,0,2,0,-116.00,0,
2026-09-01,22993,DHC Noble Care,31010,2026-06-15,Suspended,InsufficientBalance,2026-08-20,1,1,1,0,1,0,0.00,0,
2026-09-01,24988,Hands Out Of Love Home Health,30729,2026-06-01,Suspended,InsufficientBalance,2026-08-19,1,1,1,0,1,0,0.00,0,
