table,column,executions
prod_homecare_actransactional_organization.provider,providerid,119659
prod_homecare_actransactional_organization.provider,providerorganizationid,34516
prod_homecare_actransactional_organization.provider,name,29553
prod_homecare_actransactional_organization.provider,ispace,28585
prod_homecare_actransactional_organization.provider,postalcode,7962
prod_homecare_actransactional_organization.provider,postalcodeid,7956
prod_homecare_actransactional_organization.provider,deleted,4514
prod_homecare_actransactional_organization.provider,orgid,2555
prod_homecare_actransactional_organization.provider,hcamuserid,2290
prod_homecare_actransactional_organization.provider,nowarmtransferallowed,2086
prod_homecare_actransactional_organization.provider,providerstatustypeid,2025
prod_homecare_actransactional_organization.provider,warmtransferphonenumber,2003
prod_homecare_actransactional_organization.provider,billingtypeid,1917
prod_homecare_actransactional_organization.provider,modifiedby,1552
prod_homecare_actransactional_organization.provider,createdon,1552
prod_homecare_actransactional_organization.provider,modifiedon,1552
prod_homecare_actransactional_organization.provider,createdby,1552
prod_homecare_actransactional_organization.provider,agingcareprofilepage,1481
prod_homecare_actransactional_organization.provider,sfrecordid,1481
prod_homecare_actransactional_organization.provider,sysstarttime,1481
prod_homecare_actransactional_organization.provider,warmtransferafterhoursphonetypeid,1481
prod_homecare_actransactional_organization.provider,profiledescription,1481
prod_homecare_actransactional_organization.provider,profilesupplieddescription,1481
prod_homecare_actransactional_organization.provider,primaryphonetypeid,1481
prod_homecare_actransactional_organization.provider,carecoordinatoruserid,1481
prod_homecare_actransactional_organization.provider,rate,1481
prod_homecare_actransactional_organization.provider,freetrialexpirationdate,1481
prod_homecare_actransactional_organization.provider,fax,1481
prod_homecare_actransactional_organization.provider,address,1481
prod_homecare_actransactional_organization.provider,warmtransferafterhoursphonenumber,1481
prod_homecare_actransactional_organization.provider,activationon,1481
prod_homecare_actransactional_organization.provider,warmtransferphonetypeid,1481
prod_homecare_actransactional_organization.provider,profiledescribecaregivers,1481
prod_homecare_actransactional_organization.provider,profilemissionstatement,1481
prod_homecare_actransactional_organization.provider,providerreferralratelimitid,1481
prod_homecare_actransactional_organization.provider,warmtransferstarttime,1481
prod_homecare_actransactional_organization.provider,addon,1481
prod_homecare_actransactional_organization.provider,warmtransferafterhoursstarttime,1481
prod_homecare_actransactional_organization.provider,warmtransferphoneextension,1481
prod_homecare_actransactional_organization.provider,profileextracaregivertraining,1481
prod_homecare_actransactional_organization.provider,warmtransferexternalcallcenter,1481
prod_homecare_actransactional_organization.provider,warmtransferendtime,1481
prod_homecare_actransactional_organization.provider,sysendtime,1481
prod_homecare_actransactional_organization.provider,displayorganizationlogo,1481
prod_homecare_actransactional_organization.provider,_fivetran_synced,1481
prod_homecare_actransactional_organization.provider,primaryphone,1481
prod_homecare_actransactional_organization.provider,profilefranchiselocation,1481
prod_homecare_actransactional_organization.provider,profilesummarydescription,1481
prod_homecare_actransactional_organization.provider,accountspecialistuserid,1481
prod_homecare_actransactional_organization.provider,excludebillingreminders,1481
prod_homecare_actransactional_organization.provider,reviewedbillingperiodid,1481
prod_homecare_actransactional_organization.provider,profiletrademarkagencydetails,1481
prod_homecare_actransactional_organization.provider,profilelocalserviceareanickname,1481
prod_homecare_actransactional_organization.provider,datefounded,1481
prod_homecare_actransactional_organization.provider,minimumfee,1481
prod_homecare_actransactional_organization.provider,zipaddon,1481
prod_homecare_actransactional_organization.provider,address2,1481
prod_homecare_actransactional_organization.provider,profilefranchisename,1481
prod_homecare_actransactional_organization.provider,_fivetran_deleted,1481
prod_homecare_actransactional_organization.provider,warmtransferafterhourstimezoneoffset,1481
prod_homecare_actransactional_organization.provider,providerlogo,1481
prod_homecare_actransactional_organization.provider,website,1481
prod_homecare_actransactional_organization.provider,warmtransferafterhoursphoneextension,1481
prod_homecare_actransactional_organization.provider,warmtransfertimezoneoffset,1481
prod_homecare_actransactional_organization.provider,warmtransferafterhoursendtime,1481
prod_homecare_actransactional_organization.provider,freetrial,1481
prod_homecare_actransactional_organization.provider,slppcreditaccountid,1481
prod_homecare_actransactional_organization.provider,profileownersname,1481
prod_homecare_actransactional_organization.provider,graceonboardedon,953
prod_homecare_acreporting_reporting.cartproviderhistory,providerid,42235
prod_homecare_acreporting_reporting.cartproviderhistory,orderid,40826
prod_homecare_acreporting_reporting.cartproviderhistory,date,28728
prod_homecare_acreporting_reporting.cartproviderhistory,orderstatus,25563
prod_homecare_acreporting_reporting.cartproviderhistory,orderstatusreason,24373
prod_homecare_acreporting_reporting.cartproviderhistory,providername,13704
prod_homecare_acreporting_reporting.cartproviderhistory,contracttype,13107
prod_homecare_acreporting_reporting.cartproviderhistory,monthlycap,10088
prod_homecare_acreporting_reporting.cartproviderhistory,accountid,8993
prod_homecare_acreporting_reporting.cartproviderhistory,monthlysent,8203
prod_homecare_acreporting_reporting.cartproviderhistory,cartproviderhistoryid,2804
prod_homecare_acreporting_reporting.cartproviderhistory,csm,1814
prod_homecare_acreporting_reporting.cartproviderhistory,ccfail,880
prod_homecare_acreporting_reporting.cartproviderhistory,ordername,273
prod_homecare_actransactional_ordermanagement.order,orderid,44862
prod_homecare_actransactional_ordermanagement.order,createdon,36928
prod_homecare_actransactional_ordermanagement.order,orderstatustypeid,34713
prod_homecare_actransactional_ordermanagement.order,orderstatusreasontypeid,34691
prod_homecare_actransactional_ordermanagement.order,accountid,18916
prod_homecare_actransactional_ordermanagement.order,billingtypeid,11922
prod_homecare_actransactional_ordermanagement.order,servicetypeid,10366
prod_homecare_actransactional_ordermanagement.order,costperlead,7403
prod_homecare_actransactional_ordermanagement.order,name,6066
prod_homecare_actransactional_ordermanagement.order,prepaidtotal,5324
prod_homecare_actransactional_ordermanagement.order,prepaidautorenew,5252
prod_homecare_actransactional_ordermanagement.order,orderstatussubreasontypeid,4555
prod_homecare_actransactional_ordermanagement.order,orderstatusreasonnote,4447
prod_homecare_actransactional_ordermanagement.order,sfrecordid,4443
prod_homecare_actransactional_ordermanagement.order,sysstarttime,4443
prod_homecare_actransactional_ordermanagement.order,packagetotalcap,4443
prod_homecare_actransactional_ordermanagement.order,rate,4443
prod_homecare_actransactional_ordermanagement.order,monthlyavailable,4443
prod_homecare_actransactional_ordermanagement.order,matchrulesetid,4443
prod_homecare_actransactional_ordermanagement.order,dailysent,4443
prod_homecare_actransactional_ordermanagement.order,postalmatch,4443
prod_homecare_actransactional_ordermanagement.order,modifiedby,4443
prod_homecare_actransactional_ordermanagement.order,highpriority,4443
prod_homecare_actransactional_ordermanagement.order,totalavailable,4443
prod_homecare_actransactional_ordermanagement.order,activationdate,4443
prod_homecare_actransactional_ordermanagement.order,dailycap,4443
prod_homecare_actransactional_ordermanagement.order,htmonthlycap,4443
prod_homecare_actransactional_ordermanagement.order,proximitylimit,4443
prod_homecare_actransactional_ordermanagement.order,_fivetran_synced,4443
prod_homecare_actransactional_ordermanagement.order,confirmationmailsent,4443
prod_homecare_actransactional_ordermanagement.order,sysendtime,4443
prod_homecare_actransactional_ordermanagement.order,totalcap,4443
prod_homecare_actransactional_ordermanagement.order,totalsent,4443
prod_homecare_actransactional_ordermanagement.order,createdby,4443
prod_homecare_actransactional_ordermanagement.order,autorenew,4443
prod_homecare_actransactional_ordermanagement.order,isprefundedpackage,4443
prod_homecare_actransactional_ordermanagement.order,nextpackagetypeid,4443
prod_homecare_actransactional_ordermanagement.order,costperhtlead,4443
prod_homecare_actransactional_ordermanagement.order,htmonthlysent,4443
prod_homecare_actransactional_ordermanagement.order,billingreminders,4443
prod_homecare_actransactional_ordermanagement.order,minimumfee,4443
prod_homecare_actransactional_ordermanagement.order,monthlysent,4443
prod_homecare_actransactional_ordermanagement.order,parentsfaccountrecordid,4443
prod_homecare_actransactional_ordermanagement.order,monthlycap,4443
prod_homecare_actransactional_ordermanagement.order,proximitymatch,4443
prod_homecare_actransactional_ordermanagement.order,dmorderid,4443
prod_homecare_actransactional_ordermanagement.order,_fivetran_deleted,4443
prod_homecare_actransactional_ordermanagement.order,packagecostperlead,4443
prod_homecare_actransactional_ordermanagement.order,pausedon,4443
prod_homecare_actransactional_ordermanagement.order,modifiedon,4443
prod_homecare_actransactional_ordermanagement.order,hcamownername,3868
prod_homecare_actransactional_ordermanagement.order,providerscount,2404
prod_homecare_actransactional_ordermanagement.order,resumedate,876
prod_homecare_actransactional_ordermanagement.order,pendingcancellationdate,876
prod_homecare_actransactional_ordermanagement.order,createdate,4
prod_homecare_actransactional_ordermanagement.orderstatustype,orderstatustypeid,30260
prod_homecare_actransactional_ordermanagement.orderstatustype,name,30260
prod_homecare_actransactional_ordermanagement.orderstatusreasontype,orderstatusreasontypeid,30248
prod_homecare_actransactional_ordermanagement.orderstatusreasontype,name,29652
prod_homecare_actransactional_auth.users,userid,41273
prod_homecare_actransactional_auth.users,firstname,40590
prod_homecare_acreporting_import.five9dailyagentstatedetails,agentgroup,27964
prod_homecare_acreporting_import.five9dailyagentstatedetails,agent,27964
prod_homecare_acreporting_import.five9dailyagentstatedetails,detaildate,27964
prod_homecare_acreporting_import.five9dailyagentstatedetails,agentstatetime,27964
prod_homecare_acreporting_import.five9dailyagentstatedetails,state,27964
prod_homecare_acreporting_import.five9dailyagentstatedetails,agentfirstname,25785
prod_homecare_acreporting_import.five9dailyagentstatedetails,agentlastname,25785
prod_homecare_acreporting_import.five9dailyagentstatedetails,time,22037
prod_homecare_acreporting_import.five9dailyagentstatedetails,agentstatedetailid,20770
prod_homecare_acreporting_import.five9dailyagentstatedetails,minute,17776
prod_homecare_acreporting_import.five9dailyagentstatedetails,hours,17776
prod_homecare_acreporting_import.five9dailyagentstatedetails,reasoncode,16089
prod_homecare_acreporting_import.five9dailyagentstatedetails,mediaavailability,8922
prod_homecare_acreporting_import.five9dailyagentstatedetails,skillavailability,8922
cte,dateid,5921
cte,time,5921
cte,providerid,1607
cte,postalcode,973
cte,monthlycap,833
cte,date,833
cte,monthlysent,833
cte,orderid,634
cte,referredon,542
cte,org,537
cte,emailaddress,483
cte,referraldate,483
cte,hmcrequestid,483
cte,name,483
cte,djreferral,483
cte,djtype,483
cte,phonenumber,483
cte,referralid,483
cte,zip,202
cte,monthyear,33
cte,dma,4
prod_homecare_actransactional_homecare.referral,hmcleadid,106458
prod_homecare_actransactional_homecare.referral,referralid,93418
prod_homecare_actransactional_homecare.referral,providerid,83217
prod_homecare_actransactional_homecare.referral,billingtypeid,65978
prod_homecare_actransactional_homecare.referral,leadid,61922
prod_homecare_actransactional_homecare.referral,createdon,52920
prod_homecare_actransactional_homecare.referral,referredon,49850
prod_homecare_actransactional_homecare.referral,orderid,33813
prod_homecare_actransactional_homecare.referral,addontypeid,27123
prod_homecare_actransactional_homecare.referral,istopoff,27104
prod_homecare_actransactional_homecare.referral,digitaljourney,26880
prod_homecare_actransactional_homecare.referral,activatedon,25326
prod_homecare_actransactional_homecare.referral,returnapproved,16958
prod_homecare_actransactional_homecare.referral,modifiedon,12663
prod_homecare_actransactional_homecare.referral,modifiedby,9218
prod_homecare_actransactional_homecare.referral,createdby,9218
prod_homecare_actransactional_homecare.referral,referralstatustypeid,3939
prod_homecare_actransactional_homecare.referral,startedcareon,2333
prod_homecare_actransactional_homecare.referral,endedcareon,2333
prod_homecare_actransactional_homecare.referral,referraldisplaystatustypeid,2217
prod_homecare_actransactional_homecare.referral,hmcleadidupdateby,2217
prod_homecare_actransactional_homecare.referral,sysstarttime,116
prod_homecare_actransactional_homecare.referral,referralendcarereasontypeid,116
prod_homecare_actransactional_homecare.referralnote,createdon,7628
prod_homecare_actransactional_homecare.referralnote,referralid,7628
prod_homecare_actransactional_homecare.referralnote,referralprocessstageid,5909
prod_homecare_actransactional_homecare.referralnote,createdby,4183
prod_homecare_actransactional_homecare.referralnote,notes,3457
prod_homecare_actransactional_homecare.referralnote,referralnoteid,1192
prod_homecare_actransactional_homecare.referralreturnsecondaryreasontype,referralreturnsecondaryreasontypeid,2402
prod_homecare_actransactional_homecare.referralreturnsecondaryreasontype,name,2391
prod_homecare_actransactional_organization.providerorganization,providerorganizationid,15376
prod_homecare_actransactional_organization.providerorganization,name,15202
prod_homecare_actransactional_homecare.referralreturnrequest,referralid,2678
prod_homecare_actransactional_homecare.referralreturnrequest,primaryreasontypeid,2402
prod_homecare_actransactional_homecare.referralreturnrequest,secondaryreasontypeid,2402
prod_homecare_actransactional_homecare.referralreturnrequest,returnapproved,1468
prod_homecare_actransactional_homecare.referralreturnrequest,createdon,276
prod_homecare_actransactional_homecare.referralreturnrequest,referralreturnrequestresolutiontypeid,12
prod_homecare_actransactional_homecare.referralreturnprimaryreasontype,referralreturnprimaryreasontypeid,2402
prod_homecare_actransactional_homecare.referralreturnprimaryreasontype,name,39
prod_homecare_insite_directory.hmcrequest,hmcrequestid,117184
prod_homecare_insite_directory.hmcrequest,createdate,101277
prod_homecare_insite_directory.hmcrequest,affiliateid,56469
prod_homecare_insite_directory.hmcrequest,requeststatusid,53654
prod_homecare_insite_directory.hmcrequest,url,52524
prod_homecare_insite_directory.hmcrequest,hmcprospectid,45957
prod_homecare_insite_directory.hmcrequest,postalcode,45419
prod_homecare_insite_directory.hmcrequest,djtypeid,35897
prod_homecare_insite_directory.hmcrequest,djstepid,33748
prod_homecare_insite_directory.hmcrequest,customflow,24785
prod_homecare_insite_directory.hmcrequest,affiliateinquiryid,16136
prod_homecare_insite_directory.hmcrequest,lastname,5849
prod_homecare_insite_directory.hmcrequest,firstname,5849
prod_homecare_insite_directory.hmcrequest,emailaddress,4170
prod_homecare_insite_directory.hmcrequest,requeststatuscode,3804
prod_homecare_insite_directory.hmcrequest,hoursperweekid,3687
prod_homecare_insite_directory.hmcrequest,formname,3687
prod_homecare_insite_directory.hmcrequest,leadsource,271
prod_homecare_insite_directory.hmcrequest,residentname,20
prod_homecare_insite_directory.hmcrequest,campaigngroup,4
prod_homecare_insite_directory.hmclead,hmcleadid,88978
prod_homecare_insite_directory.hmclead,hmcrequestid,83441
prod_homecare_insite_directory.hmclead,hottransferred,35817
prod_homecare_insite_directory.hmclead,companyid,7381
prod_homecare_insite_directory.hmclead,createdate,6152
prod_homecare_insite_directory.hmclead,hmcprospectid,5843
prod_homecare_actransactional_geo.city,cityid,7243
prod_homecare_actransactional_geo.city,name,7223
prod_homecare_actransactional_geo.city,stateprovinceid,3990
prod_homecare_actransactional_geo.city,modifiedby,3057
prod_homecare_actransactional_geo.city,createdon,3057
prod_homecare_actransactional_geo.city,modifiedon,3057
prod_homecare_actransactional_geo.city,createdby,3057
prod_homecare_actransactional_geo.stateprovince,stateprovinceid,14545
prod_homecare_actransactional_geo.stateprovince,iso2code,6123
prod_homecare_actransactional_geo.stateprovince,name,4417
prod_homecare_actransactional_geo.stateprovince,countryid,436
prod_homecare_actransactional_billing.account,accountid,20450
prod_homecare_actransactional_billing.account,name,7926
prod_homecare_actransactional_billing.account,accountstatusreasontypeid,6544
prod_homecare_actransactional_billing.account,accountstatustypeid,648
prod_homecare_actransactional_billing.account,iscorporateaccount,108
prod_homecare_actransactional_billing.account,paymentmethodtypeid,57
prod_homecare_actransactional_billing.account,accountstatusreasonnote,44
prod_homecare_actransactional_billing.account,balance,18
prod_homecare_actransactional_ordermanagement.orderprovider,orderid,19073
prod_homecare_actransactional_ordermanagement.orderprovider,providerid,18637
prod_homecare_actransactional_ordermanagement.orderprovider,monthlycap,1567
prod_homecare_actransactional_ordermanagement.orderprovider,sfrecordid,1481
prod_homecare_actransactional_ordermanagement.orderprovider,monthlyavailable,1481
prod_homecare_actransactional_ordermanagement.orderprovider,modifiedby,1481
prod_homecare_actransactional_ordermanagement.orderprovider,totalavailable,1481
prod_homecare_actransactional_ordermanagement.orderprovider,htmonthlycap,1481
prod_homecare_actransactional_ordermanagement.orderprovider,modifiedon,1481
prod_homecare_actransactional_ordermanagement.orderprovider,_fivetran_synced,1481
prod_homecare_actransactional_ordermanagement.orderprovider,orderproviderid,1481
prod_homecare_actransactional_ordermanagement.orderprovider,totalcap,1481
prod_homecare_actransactional_ordermanagement.orderprovider,totalsent,1481
prod_homecare_actransactional_ordermanagement.orderprovider,createdby,1481
prod_homecare_actransactional_ordermanagement.orderprovider,createdon,1481
prod_homecare_actransactional_ordermanagement.orderprovider,htmonthlysent,1481
prod_homecare_actransactional_ordermanagement.orderprovider,monthlysent,1481
prod_homecare_actransactional_ordermanagement.orderprovider,_fivetran_deleted,1481
prod_homecare_actransactional_ordermanagement.orderprovider,dmproviderid,1481
prod_homecare_acreporting_reporting.dimpostalcode,code,32085
prod_homecare_acreporting_reporting.dimpostalcode,timezoneid,20249
prod_homecare_acreporting_reporting.dimpostalcode,stateprovinceid,13210
prod_homecare_acreporting_reporting.dimpostalcode,postalcodeid,6359
prod_homecare_acreporting_reporting.dimpostalcode,cityid,6186
