function,executions
and,331719
if,287023
case,287023
cast,170532
or,165305
row_number,105548
concat,88015
time_str_to_time,81759
time_to_str,81759
str_position,74329
left,72149
lower,69470
ts_or_ds_to_date,65417
count,53765
current_timestamp,53056
timestamp_add,52563
lag,48711
datediff,44078
substring,43667
sum,37569
trim,31777
min,28103
length,27917
right,27712
timestamp_trunc,24462
year,23844
month,23012
max,20682
convert_timezone,20335
timestampdiff,11913
add_months,11881
minute,10462
current_date,7490
round,7116
week_of_year,6715
second,5921
quantile,5911
coalesce,5403
hour,4604
floor,4551
day,4484
sort_array,3687
array_agg,3687
json_extract,3498
last_day,2912
regexp_extract,2776
substring_index,2776
avg,2663
ts_or_ds_add,2656
day_of_month,2564
date_trunc,2216
chr,129
replace,129
exists,29
median,14
