left_table,right_table,left_key,right_key,side,executions
prod_homecare_actransactional_homecare.referral,prod_homecare_insite_directory.hmclead,hmcleadid,hmcleadid,LEFT,60123
prod_homecare_insite_directory.hmclead,prod_homecare_insite_directory.hmcrequest,hmcrequestid,hmcrequestid,LEFT,59437
prod_homecare_actransactional_homecare.referral,prod_homecare_actransactional_organization.provider,providerid,providerid,LEFT,54726
prod_homecare_actransactional_billing.homecarecharge,prod_homecare_actransactional_homecare.referral,referralid,referralid,LEFT,43806
prod_homecare_actransactional_homecare.lead,prod_homecare_actransactional_homecare.referral,leadid,leadid,LEFT,42370
prod_homecare_acreporting_reporting.cartproviderhistory,prod_homecare_actransactional_organization.provider,providerid,providerid,LEFT,32761
prod_homecare_actransactional_ordermanagement.order,prod_homecare_actransactional_ordermanagement.orderstatustype,orderstatustypeid,orderstatustypeid,LEFT,30242
prod_homecare_actransactional_ordermanagement.order,prod_homecare_actransactional_ordermanagement.orderstatusreasontype,orderstatusreasontypeid,orderstatusreasontypeid,LEFT,30230
prod_homecare_acreporting_reporting.cartproviderhistory,prod_homecare_actransactional_ordermanagement.order,orderid,orderid,LEFT,28181
prod_homecare_insite_directory.affiliate,prod_homecare_insite_directory.hmcrequest,affiliateid,affiliateid,LEFT,24676
prod_homecare_acreporting_reporting.dimpostalcode,prod_homecare_acreporting_reporting.dimtimezone,timezoneid,timezoneid,LEFT,20249
prod_homecare_actransactional_homecare.hottransferresponse,prod_homecare_actransactional_homecare.hottransferresult,hottransferresponseid,hottransferresponseid,LEFT,18695
prod.dim_funnel_channel,prod.funnel_lead,funnel_lead_id,funnel_lead_id,LEFT,16136
prod_homecare_insite_directory.hmclead,prod_homecare_insite_directory.hmcrequest,hmcrequestid,hmcrequestid,INNER,15942
prod_homecare_actransactional_ordermanagement.order,prod_homecare_actransactional_ordermanagement.orderprovider,orderid,orderid,LEFT,15678
prod_homecare_actransactional_organization.provider,prod_homecare_actransactional_organization.providerorganization,providerorganizationid,providerorganizationid,LEFT,15045
prod_homecare_actransactional_billing.account,prod_homecare_actransactional_ordermanagement.order,accountid,accountid,LEFT,14384
prod_homecare_actransactional_ordermanagement.orderprovider,prod_homecare_actransactional_organization.provider,providerid,providerid,LEFT,14250
prod_homecare_actransactional_homecare.hottransferresult,prod_homecare_actransactional_homecare.referral,referralid,referralid,LEFT,11673
prod_homecare_insite_directory.hmcprospect,prod_homecare_insite_directory.hmcrequest,hmcprospectid,hmcprospectid,LEFT,11043
prod_homecare_acreporting_reporting.dimcampaign,prod_homecare_acreporting_reporting.factdailycampaigncost,campaignkey,campaignkey,LEFT,10685
prod_homecare_actransactional_homecare.referral,prod_homecare_insite_directory.hmclead,hmcleadid,hmcleadid,INNER,10682
prod_homecare_actransactional_seniorliving.referral,prod_homecare_insite_directory.hmcprospect,lastname,lastname,LEFT,10682
prod_homecare_actransactional_seniorliving.referral,prod_homecare_insite_directory.hmcprospect,emailaddress,emailaddress,LEFT,10682
prod_homecare_actransactional_seniorliving.referral,prod_homecare_insite_directory.hmcprospect,firstname,firstname,LEFT,10682
prod_homecare_acreporting_reporting.dimcustomeracquisition,prod_homecare_acreporting_reporting.dimhomecarerequest,customeracquisitionkey,customeracquisitionkey,LEFT,9822
prod_homecare_actransactional_homecare.hottransferresult,prod_homecare_actransactional_homecare.referral,leadid,leadid,LEFT,8906
prod_homecare_acreporting_reporting.dimhomecarerequest,prod_homecare_insite_directory.hmcrequest,requestid,hmcrequestid,LEFT,8330
prod_homecare_acreporting_reporting.cartproviderhistory,prod_homecare_actransactional_organization.providerservicecoverage,providerid,providerid,LEFT,7444
prod_homecare_insite_directory.hmclead,prod_homecare_insite_directory.lead,hmcleadid,hmcleadid,LEFT,7381
prod_homecare_insite_directory.hmcprospect,prod_homecare_insite_directory.hmcprospectdisqualifier,disqualifier,hmcprospectdisqualifierid,LEFT,7311
prod_homecare_acreporting_reporting.dimpostalcode,prod_homecare_actransactional_geo.stateprovince,stateprovinceid,stateprovinceid,LEFT,7014
prod_homecare_acreporting_reporting.facthomecarerequestsummary,prod_homecare_insite_directory.hmcrequest,requestid,hmcrequestid,LEFT,6249
prod_homecare_acreporting_reporting.dimpostalcode,prod_homecare_acreporting_reporting.dimstateprovince,stateprovinceid,stateprovinceid,LEFT,6196
prod_homecare_acreporting_reporting.dimpostalcode,prod_homecare_actransactional_geo.city,cityid,cityid,LEFT,6186
prod_homecare_acreporting_reporting.cartproviderhistory,prod_homecare_actransactional_billing.account,accountid,accountid,LEFT,6048
prod_homecare_actransactional_homecare.referral,prod_homecare_insite_directory.lead,hmcleadid,hmcleadid,LEFT,6015
prod_homecare_actransactional_homecare.hottransferresult,prod_homecare_actransactional_homecare.referral,providerid,providerid,LEFT,6015
prod_homecare_actransactional_homecare.hottransferresult,prod_homecare_actransactional_homecare.lead,leadid,leadid,LEFT,6015
prod_homecare_acreporting_import.five9dailyagentstatedetails,prod_homecare_acreporting_import.five9dailycalllogs,agent,agent,INNER,5925
prod_homecare_acreporting_reporting.dimpostalcode,prod_homecare_actransactional_organization.provider,postalcodeid,postalcodeid,LEFT,5923
prod_homecare_actransactional_homecare.referral,prod_homecare_actransactional_organization.provider,providerid,providerid,INNER,5884
