column,executions
createdate,100261
rn,89177
hmcleadid,69582
date,62247
referredon,53147
createdon,47553
agentgroup,47311
billingtypeid,47281
orderstatusreason,39408
outcomeid,38532
orderstatus,35326
contracttype,34521
deliveryname,31085
detaildate,27964
agentstatetime,27964
timestamp,24621
firstname,23152
hmcrequestid,19895
status,19199
state,19042
requeststatusid,17945
providerid,16568
inquiry_created_at,16136
close_inquiry_reason,16136
is_default_exclusion,16136
affiliateid,15685
referralid,15384
accountid,14087
hottransferresponseid,13861
servicetypeid,13318
callgapbucket,11832
dateid,11130
campaignname,10670
deleted,10220
ishottransfer,10142
addon,10142
referralcount,10142
campaignkey,10114
campaignid,10114
providerorganizationid,10103
hottransferredon,8972
countyid,8835
name,8252
channel,8123
activatedon,7884
referralprocessstageid,7628
postalcode,6984
adjchannel,6302
orderid,6209
new_rn,6042
accountstatusreasontypeid,6042
lagdate,6042
time,5925
oncall,5921
invoicedon,5483
orgid,5478
apfm,5379
contactemail,4971
referraldate,4946
companyid,4942
phonerank,4942
hmcleadstatusid,4942
usercode,4930
attemptcount,4346
secondsinprospect,4346
close_date,4226
action,4105
returnapproved,3829
new_value,3750
firstscreeninglagseconds,3741
leadsentdateid,3638
firstactivedate,3586
properties,3498
type,3451
is_won,3426
year,3385
lastactivedate,3342
apfmmisattribute,3198
surveyresponse,2955
statustypeid,2955
amount,2904
otherchargetypeid,2870
paymentstatustypeid,2837
balance,2784
srn,2221
created_date,2163
ordercreatedate,2027
minactivationdate,1987
countryid,1853
referralstatustypeid,1722
dma,1328
reasoncode,1246
email,1222
firstreferral,1090
_fivetran_deleted,1008
region_type_code,1008
region_name,1008
active,1008
providerstatustypeid,903
ccfail,880
prepaidtotal,841
note,832
djstepid,783
screeningdateid,771
currentorderstatus,634
requestdateid,572
field,501
addontypeid,486
iso2code,465
orderstatustypeid,446
iscredit,439
source,438
isactive,436
orderstatusid,436
hmc_cart_provider_id_c,264
lastactive,180
firstcasecreatedate,179
firstactive,171
lag,129
disqualifier,129
reportedon,116
endedcareonfinal,116
reportedendedcaredate,116
pn,116
endedcareon,116
corporatenationalorder,108
resumedate,86
fromdate,86
approved,86
old_value,78
manager,78
dnis,58
campaign,58
digitaljourney,58
paymentmethodtypeid,57
orderremoval,56
hmcprospectid,36
call_start_at,36
source_system,36
owner_id,35
payment,33
providername,29
lastname,29
sysstarttime,29
sysstarttimefinal,29
leadid,29
contactfirstname,29
lastcareadvisorinternaluserkey,29
stateprovinceid,29
startedcareon,29
externalidentifier,29
contactlastname,29
contactphone,29
advisor,29
referralendcarereasontypeid,29
emailaddress,29
requestdatetime,29
internaluserkey,29
requestid,29
postalcodeid,29
leadkey,29
lastday,26
hmc_case_subject_c,15
username,14
casesubject,12
priormonthnotcancelled,6
lastfreelead,6
ordernumber,6
removalflag,6
additonal,5
paid,4
account_id,4
dj,2
today,1
