executions,shape,example
16759,SELECT * FROM prod_homecare_acreporting_reporting.dimtime,"select `timeid`, `minute`, `hour`, `time`, `_fivetran_deleted`, `_fivetran_synced`, case when `timeid` < 830 then 'Non-Working Hours' else (case when `timeid` >= 2300 then 'Non-Working Hours' else 'Working Hours' end) end as `C1` from ( Select * from prod_homecare_acreporting_reporting.dimtime ) as  ..."
12399,"SELECT dateid, date, dayofyear, dayofmonth, dayofweek, weekdayname, month, monthname, year, monthyearid FROM prod_homecare_acreporting_reporting.dimdate","select * from ( SELECT DateID ,Date ,DayOfYear ,DayOfMonth ,DayOfWeek ,WeekDayName ,Month ,MonthName ,Year ,MonthYearID FROM prod_homecare_acreporting_reporting.dimdate ) as `_` limit 0"
11190,SELECT * FROM prod_homecare_acreporting_reporting.dimdate,"select `dateid`, `quarter`, `dayofweek`, `dayofmonth`, `monthyearid`, `date`, `month`, `year`, `dayofyear`, `weekdayname`, `monthname`, `_fivetran_deleted`, `_fivetran_synced` from ( Select * from prod_homecare_acreporting_reporting.dimdate ) as `_`"
10142,"WITH cte AS (SELECT DISTINCT r.referralid, r.leadid, l.hmcprospectid, hmcr.hmcrequestid, l.externalidentifier AS ygl_lead_id, r.providerid, r.billingtypeid, referralstatustypeid, referredon, CASE WHEN NOT hmcl.hottransferred IS NULL THEN ? ELSE ? END AS ht, CASE WHEN r.istopoff = ? THEN ? ELSE ? END AS topoffqueue, CASE WHEN r.addontypeid = ? THEN ? WHEN r.addontypeid = ? THEN ? WHEN r.addontypeid = ? THEN ? ELSE NULL END AS addontype, CASE WHEN r.addontypeid IN (?) THEN ? ELSE ? END AS addon, r.createdon, CAST(returnapproved AS INT), r.hmcleadid, orderid, CASE WHEN p.ispace = ? THEN ? ELSE ?  ...","select `ReferralID`, `LeadID`, `HMCProspectID`, `HMCRequestID`, `YGL_Lead_ID`, `ProviderID`, `BillingTypeID`, `ReferralStatusTypeID`, `ReferredOn`, `HT`, `TopOffQueue`, `AddOnType`, `AddOn`, `CreatedOn`, cast(`ReturnApproved` as BIGINT) as `C1`, `HMCLeadID`, `OrderID`, `PaceReferral`, `IsHotTransfer ..."
10124,"WITH cte AS (SELECT fdcc.campaignkey, dc.campaignname, dc.campaignsource, dc.campaignid, CASE WHEN dc.campaignsource = ? THEN ? WHEN campaignsource = ? THEN ? WHEN campaignsource = ? THEN ? END AS sem_source, CASE WHEN dc.campaignname LIKE ? OR dc.campaignname LIKE ? OR dc.campaignname LIKE ? THEN ? WHEN dc.campaignname LIKE ? OR dc.campaignname LIKE ? OR dc.campaignname LIKE ? OR dc.campaignname LIKE ? OR dc.campaignname LIKE ? THEN ? WHEN NOT dc.campaignname IS NULL THEN ? END AS sem_tier, CASE WHEN dc.campaignname LIKE ? OR dc.campaignname LIKE ? OR dc.campaignname = ? OR dc.campaignname =  ...","select * from ( WITH CTE AS( SELECT fdcc.CampaignKey ,dc.CampaignName ,dc.CampaignSource ,dc.CampaignID ,CASE WHEN dc.CampaignSource = 'Bing' THEN 'SEM - Bing' WHEN CampaignSource = 'Google' THEN 'SEM - Google' WHEN CampaignSource = 'Yahoo' THEN 'SEM - Bing' END as SEM_Source ,CASE WHEN dc.CampaignN ..."
8239,"SELECT DISTINCT r.referralid, r.leadid, l.hmcprospectid, hmcr.hmcrequestid, l.externalidentifier AS ygl_lead_id, r.providerid, r.billingtypeid, referralstatustypeid, referredon, CASE WHEN NOT r.activatedon IS NULL THEN ? ELSE ? END AS activations, CASE WHEN NOT hmcl.hottransferred IS NULL THEN ? ELSE ? END AS ht, CASE WHEN r.istopoff = ? THEN ? ELSE ? END AS topoffqueue, CASE WHEN r.addontypeid = ? THEN ? WHEN r.addontypeid = ? THEN ? WHEN r.addontypeid = ? THEN ? ELSE NULL END AS addontype, CASE WHEN r.addontypeid IN (?) THEN ? ELSE ? END AS addon, r.createdon, CAST(returnapproved AS INT), r. ...","select * from ( SELECT DISTINCT r.ReferralID ,r.LeadID ,l.HMCProspectID ,hmcr.HMCRequestID ,l.ExternalIdentifier as YGL_Lead_ID ,r.ProviderID ,r.BillingTypeID ,ReferralStatusTypeID ,ReferredOn ,case when r.activatedon is not null then 1 else 0 end Activations ,CASE WHEN hmcl.HotTransferred IS NOT NU ..."
6463,"SELECT hrt.referralid, hrt.hottransferresponseid, hr.name FROM prod_homecare_actransactional_homecare.hottransferresult AS hrt LEFT JOIN prod_homecare_actransactional_homecare.hottransferresponse AS hr ON hr.hottransferresponseid = hrt.hottransferresponseid","select `referralid`, `hottransferresponseid`, `name` from ( Select hrt.referralid ,hrt.hottransferresponseid ,hr.name FROM prod_homecare_actransactional_homecare.hottransferresult hrt LEFT JOIN prod_homecare_actransactional_homecare.hottransferresponse hr on hr.hottransferresponseid = hrt.hottransfe ..."
6449,"WITH cte AS (SELECT ref.leadid FROM prod_homecare_actransactional_homecare.hottransferresult AS hrt LEFT JOIN prod_homecare_actransactional_homecare.hottransferresponse AS hr ON hr.hottransferresponseid = hrt.hottransferresponseid LEFT JOIN prod_homecare_actransactional_homecare.referral AS ref ON ref.referralid = hrt.referralid LEFT JOIN prod_homecare_insite_directory.hmclead AS hmcl ON hmcl.hmcleadid = ref.hmcleadid LEFT JOIN prod_homecare_insite_directory.hmcrequest AS hmcr ON hmcr.hmcrequestid = hmcl.hmcrequestid WHERE hrt.hottransferresponseid = ?) SELECT DISTINCT ref.leadid, CASE WHEN NO ...",select * from ( With CTE AS ( Select ref.leadid FROM prod_homecare_actransactional_homecare.hottransferresult hrt LEFT JOIN prod_homecare_actransactional_homecare.hottransferresponse hr on hr.hottransferresponseid = hrt.hottransferresponseid LEFT JOIN prod_homecare_actransactional_homecare.referral  ...
6427,"SELECT campaignkey, campaignsource, campaignid, CASE WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN campaignid = ? THEN ? WHEN ca ...","select * from ( SELECT CampaignKey ,CampaignSource ,CampaignID ,CASE WHEN CampaignID = '18462205636' THEN 'HighValueT3' WHEN CampaignID = '18462205639' THEN 'MidValueT3' WHEN CampaignID = '18462209188' THEN 'MidValueT4' WHEN CampaignID = '18462209191' THEN 'HighValueT4' WHEN CampaignID = '1893131533 ..."
5930,"SELECT agentstatedetailid, agent, agentgroup, agentfirstname, agentlastname, time, LAG(time) OVER (PARTITION BY agent ORDER BY agentstatedetailid DESC) AS endtime, state, reasoncode, mediaavailability, skillavailability, CASE WHEN state = ? OR (state = ? AND reasoncode = ?) THEN ? ELSE ? END AS wastedtime, CASE WHEN state = ? AND (reasoncode IN (?)) THEN ? ELSE ? END AS agentstategroup, agentstatetime, DATE_FORMAT(time, ?) AS hours, DATE_FORMAT(time, ?) AS minute, (hours * ?) + minute AS timeid, detaildate, CASE WHEN agent = ? THEN ? WHEN agent = ? THEN ? ELSE LOWER(CONCAT(LEFT(agent, LOCATE(? ...","select `AgentStateDetailId`, `Agent`, `AgentGroup`, `AgentFirstName`, `AgentLastName`, `Time`, `EndTime`, `State`, `ReasonCode`, `MediaAvailability`, `SkillAvailability`, `WastedTime`, `AgentStateGroup`, `AgentStateTime`, `hours`, `minute`, `TimeID`, `detaildate`, `name_join` from ( SELECT AgentStat ..."
