table,executions,distinct_statements,rows_read
prod_homecare_actransactional_homecare.referral,135701,693,786220260042
prod_homecare_actransactional_organization.provider,124742,807,433476339388
prod_homecare_insite_directory.hmcrequest,122158,635,989016392356
prod_homecare_insite_directory.hmclead,91513,505,743579436713
prod_homecare_actransactional_billing.homecarecharge,58771,157,306969315633
prod_homecare_acreporting_reporting.cartproviderhistory,56274,543,132390106507
prod_homecare_acreporting_reporting.dimdate,55455,159,547476092
prod_homecare_actransactional_homecare.lead,48443,79,364970291543
prod_homecare_actransactional_ordermanagement.order,45753,465,100991063350
prod_homecare_insite_directory.hmcscreeningresult,43405,332,466619291616
prod_homecare_actransactional_auth.users,41273,173,98379650018
prod_homecare_acreporting_reporting.dimpostalcode,33552,224,258778734827
prod_homecare_actransactional_homecare.hottransferresult,31221,106,116172891756
prod_homecare_actransactional_homecare.deliverylog,31085,66,212590341185
prod_homecare_acreporting_import.five9dailycalllogs,30604,77,226714901784
prod_homecare_actransactional_ordermanagement.orderstatustype,30260,379,95493871296
prod_homecare_actransactional_ordermanagement.orderstatusreasontype,30248,374,95493414765
prod_homecare_insite_directory.hmcprospect,29429,114,326316647690
prod_homecare_acreporting_reporting.dimtime,28761,15,499028387
prod_homecare_acreporting_import.five9dailyagentstatedetails,27964,64,151201444805
prod_homecare_insite_directory.affiliate,27860,227,281811783909
prod_homecare_actransactional_homecare.hottransferresponse,22416,47,66847872174
prod_homecare_acreporting_reporting.dimcampaign,21461,18,3630013665
prod_homecare_actransactional_billing.account,20895,111,50367576498
prod_homecare_acreporting_reporting.dimtimezone,20249,206,211246224998
prod_homecare_actransactional_ordermanagement.orderprovider,19073,242,52064570009
prod_homecare_actransactional_geo.stateprovince,17493,34,33506914544
prod.dim_funnel_channel,16136,115,262100690163
prod.funnel_lead,16136,115,262100690163
prod_homecare_actransactional_organization.providerorganization,15447,127,16047460656
prod_homecare_actransactional_seniorliving.referral,15101,27,47344337047
prod_homecare_insite_directory.lead,13396,25,109095872338
